ID_cat,nom_cat,description,image
1,"Mode et Accessoires","Explorez les dernières tendances en vêtements, chaussures, bijoux, sacs et accessoires pour homme, femme et enfant, adaptés à tous les styles et occasions.",""
2,"Électronique et Informatique","Plongez dans l'univers des technologies avec une sélection de smartphones, ordinateurs, téléviseurs et accessoires pour le travail et les loisirs numériques.",""
3,"Maison et Décoration","Transformez votre espace de vie avec des meubles élégants, des articles de décoration, des luminaires modernes et des solutions pour l'intérieur et l'extérieur.",""
4,"Électroménager","Découvrez des appareils indispensables pour votre quotidien, allant du gros électroménager aux équipements compacts pour simplifier vos tâches domestiques.",""
5,"Beauté et Santé","Prenez soin de vous avec des produits de beauté, soins capillaires, parfums et articles de santé conçus pour le bien-être et l'éclat au quotidien.",""
6,"Sports et Loisirs","Préparez-vous à l'action avec des équipements sportifs, des vêtements de sport, des articles de camping et des produits pour vos loisirs et passions.",""
7,"Automobile et Moto","Équipez et entretenez vos véhicules avec des pièces détachées, accessoires et produits adaptés à vos besoins pour la route et la performance.",""
8,"Bébés et Enfants","Tout pour vos petits : vêtements confortables, jouets éducatifs et équipements de puériculture pour accompagner chaque étape de leur croissance.",""
9,"Alimentation et Boissons","Faites le plein de saveurs avec une gamme d'épicerie, produits frais, boissons et options bio pour tous les goûts et régimes alimentaires.",""
10,"Livres, Musique et Films","Plongez dans le monde de la culture avec des livres captivants, des albums de musique et des films pour enrichir vos moments de détente.",""
11,"Informatique et Logiciels","Accédez à des logiciels performants et du matériel informatique de qualité pour booster votre productivité et vos activités numériques.",""
12,"Animaux","Prenez soin de vos compagnons avec des aliments adaptés, des accessoires pratiques et des produits de soin pour leur bien-être quotidien.",""
13,"Bricolage et Outillage","Réalisez vos projets avec des outils fiables, des matériaux robustes et des solutions de sécurité et de domotique pour votre maison.",""
14,"Services et Abonnements","Simplifiez votre vie avec des abonnements numériques, des services personnalisés et des cartes cadeaux pour toutes les occasions.",""
